GLITTER4.4.4: Laser Ablation Analysis Results

\\shares.ad.jcu.edu.au\ri\AAC_General\ICP\TraceCassiterite_Jason23-11-17.msws Iso.prn
Created: Thu Nov 23 18:08:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Pu238,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN

GLITTER!: 1 sigma error.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Li7,6.69,6.62,6.12,67.94,66.18,65.17,0.41,<0.00,1.40,0.99,1.86,0.37,0.40,0.35,0.38,0.37,0.40,0.42,0.42,0.39,0.40,0.38,0.39,0.50,0.43,0.39,0.40,0.49,0.39,7.21,6.19,6.67,71.09,67.62,67.76
Al27,2401.69,2361.90,2190.76,1883.97,1827.20,1797.59,31.65,40.99,383.43,6.20,738.88,10.77,30.22,33.61,29.59,2.27,17.62,19.05,2.85,5.78,11.35,13.93,12.89,4.84,2.40,2.09,3.67,16.40,1.28,1817.30,1042.99,1637.52,1818.34,1730.12,1727.31
Si29,12097802.00,11942745.00,11246208.00,10330508.00,9902782.00,9662759.00,98360.91,58232.52,223762.67,78014.26,303126.31,3191.65,81818.23,16899.17,75779.87,15159.01,35490.71,11483.41,129560.35,28210.20,36994.32,133891.36,49874.64,28406.64,39170.72,31320.02,10229.28,100912.81,52596.64,13106249.00,11092121.00,11966568.00,10491214.00,9701157.00,9527203.00
S33,52.13,56.21,48.68,43.22,41.85,40.06,36.41,50.83,59.27,60.61,61.44,41.54,41.57,39.65,37.49,39.79,38.77,41.87,41.55,38.24,41.48,37.61,38.47,48.97,40.57,41.89,45.30,42.87,42.01,40.15,32.96,32.61,58.08,56.55,55.11
Ca44,6830.01,6679.25,6197.30,5555.76,5364.04,5226.50,19.95,20.48,48.16,41.49,39.32,15.71,18.70,14.87,14.19,14.25,15.38,15.06,15.29,16.31,14.67,15.71,16.94,18.68,17.13,14.42,15.17,18.46,14.52,8957.41,7507.36,8540.69,7758.67,7369.52,7394.43
Sc45,3.46,3.42,3.13,33.61,32.18,31.32,27.35,40.35,17.31,3.43,18.86,7.74,30.21,33.09,36.99,3.04,3.08,5.80,8.06,46.53,72.28,85.55,88.41,0.65,0.57,1.85,2.79,8.10,1.07,4.47,3.83,4.18,46.35,44.01,43.80
Ti49,3.30,3.28,2.89,31.94,30.86,30.25,32.39,20.08,24.83,7.95,9.16,11.32,1.39,1.19,13.21,79.08,9.59,9.95,17.73,0.66,1.12,1.62,2.72,41.73,42.44,14.95,3.76,14.05,53.36,4.55,3.85,4.29,46.38,43.53,43.52
V51,3.30,3.19,2.93,32.44,31.28,30.86,2.58,1.67,2.41,0.25,0.52,0.37,0.033,0.038,0.041,9.60,0.083,0.23,3.29,0.055,0.049,0.036,0.035,1.42,1.59,0.45,0.057,0.053,9.00,4.23,3.61,3.98,43.70,41.46,41.32
Cr52,2.64,3.07,2.82,32.32,31.10,31.01,3.95,2.68,5.20,4.96,4.38,3.30,2.49,2.44,2.04,1.75,2.52,2.26,2.13,2.09,2.17,2.03,2.31,2.13,2.04,1.97,1.66,2.07,1.70,3.51,3.45,3.66,39.28,37.22,37.50
Cr53,3.46,3.32,2.94,33.96,32.42,31.90,2.03,2.55,5.67,5.02,4.48,1.83,1.76,1.76,1.82,1.76,1.81,1.76,1.96,1.87,1.81,1.79,1.74,2.37,1.90,1.82,1.82,2.18,1.92,4.38,3.76,4.30,43.72,41.43,41.41
Mn55,3.46,3.53,3.30,35.55,34.29,33.50,0.36,0.47,1.67,1.25,5.59,0.35,0.31,0.29,0.30,0.29,0.76,0.35,0.35,0.31,0.32,0.30,0.31,14.71,0.34,0.64,1.01,1.38,0.29,4.56,3.92,4.31,46.63,44.61,44.37
Fe57,5.08,5.03,4.79,34.12,32.95,32.70,365.58,457.11,528.85,85.82,1499.42,149.99,479.09,451.73,387.64,42.69,197.67,249.40,51.29,90.00,163.13,202.74,169.23,131.68,22.44,62.89,93.31,131.74,17.97,5.94,5.29,5.41,44.61,42.41,41.95
