GLITTER4.4.4: Laser Ablation Analysis Results

\\shares.ad.jcu.edu.au\ri\AAC_General\ICP\TraceCassiterite_Jason23-11-17.msws Iso.prn
Created: Thu Nov 23 18:08:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Sc45,5.39,5.34,4.90,53.02,50.74,49.32,42.96,63.06,26.57,4.88,28.72,11.83,45.87,49.81,55.17,4.47,4.48,8.36,11.46,65.57,100.54,117.42,119.69,0.749,0.691,2.37,3.54,10.14,1.30,5.44,4.59,4.93,53.95,50.43,49.41
Ti49,0.0677,0.0680,0.0598,0.684,0.660,0.645,0.684,0.394,0.437,0.099,0.126,0.230,0.0243,0.0200,0.261,1.56,0.184,0.189,0.330,0.0084,0.0167,0.0260,0.0455,0.725,0.737,0.253,0.0602,0.223,0.868,0.0718,0.0601,0.0656,0.706,0.652,0.641
V51,0.537,0.521,0.479,5.35,5.16,5.08,0.420,0.257,0.348,0.0136,0.0508,0.0572,0.00123,0.00000,0.00000,1.49,0.00885,0.0333,0.492,0.00359,0.00000,0.00000,0.00000,0.195,0.221,0.0609,0.00451,0.00000,1.20,0.553,0.466,0.505,5.49,5.13,5.04
Cr52,0.00812,0.00964,0.00883,0.1046,0.1006,0.1003,0.00000,0.00000,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00970,0.00950,0.00997,0.1067,0.1001,0.0998
Cr53,0.01018,0.00986,0.00869,0.1056,0.1008,0.0990,0.00000,0.00000,0.0013,0.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00166,0.0109,0.00936,0.0105,0.107,0.100,0.099
Mn55,0.0164,0.0167,0.0157,0.170,0.164,0.160,0.00000,0.00044,0.00522,0.00306,0.0248,0.00000,0.00000,0.00000,0.00000,0.00000,0.00310,0.00071,0.00033,0.00000,0.00000,0.00000,0.00000,0.0612,0.00047,0.00228,0.00381,0.00510,0.00000,0.0175,0.0149,0.0162,0.173,0.163,0.160
Fe57,0.00019,0.00020,0.00019,0.00169,0.00163,0.00162,0.0182,0.0225,0.0255,0.00354,0.0732,0.00731,0.0233,0.0218,0.0186,0.00198,0.00930,0.01164,0.00229,0.00409,0.00737,0.00908,0.00749,0.00566,0.00089,0.00266,0.00392,0.00541,0.00067,0.00022,0.00020,0.00020,0.00174,0.00163,0.00159
Co59,0.0527,0.0533,0.0487,0.547,0.527,0.515,0.01118,0.0116,0.0118,0.0109,0.0122,0.01108,0.01020,0.00959,0.01090,0.00929,0.01000,0.00931,0.0107,0.00856,0.00952,0.00974,0.01002,0.0097,0.00914,0.00885,0.0098,0.00890,0.0096,0.0571,0.0474,0.0521,0.561,0.526,0.510
Ni60,0.00275,0.00275,0.00255,0.0287,0.0278,0.0268,0.00394,0.00441,0.00358,0.00336,0.00464,0.00383,0.00387,0.00341,0.00335,0.00300,0.00336,0.00318,0.00339,0.00347,0.00307,0.00327,0.00350,0.00340,0.00335,0.00296,0.00338,0.00345,0.00334,0.00303,0.00236,0.00263,0.0294,0.0274,0.0270
Cu65,0.245,0.254,0.235,2.59,2.56,2.52,0.0000,0.0178,0.000,0.041,0.022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.266,0.233,0.251,2.66,2.57,2.47
Zn66,0.0828,0.0838,0.0815,0.996,0.982,0.981,0.00000,0.0075,0.0114,0.0060,0.0261,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0156,0.00189,0.00000,0.00277,0.00000,0.00000,0.0988,0.0885,0.0949,1.010,0.980,0.974
Ga71,2.77,2.74,2.58,29.24,28.67,28.50,8.79,11.86,1.41,1.35,8.09,4.84,10.76,11.84,12.46,0.874,5.56,8.50,1.008,2.46,3.62,4.42,4.34,0.209,0.245,0.855,1.143,1.705,0.276,2.85,2.46,2.69,29.39,28.67,28.47
Ge72,0.894,0.898,0.828,9.02,8.79,8.63,0.0000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.0000,0.0000,0.0000,0.000,0.0000,0.912,0.797,0.882,9.09,8.74,8.67
As75,12.72,12.69,11.64,112.22,110.26,108.71,0.00,0.31,0.31,0.31,0.23,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.000,0.000,0.00,0.000,13.55,11.37,12.79,112.51,109.92,109.24
Rb85,10.22,10.30,9.92,123.87,123.57,122.60,0.0000,0.0000,0.000,0.049,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.31,9.23,10.15,125.11,122.88,122.39
Sr88,7.50,7.58,7.23,43.45,43.36,43.10,0.00000,0.00000,0.0102,0.0061,0.0098,0.00222,0.00000,0.00000,0.00127,0.00188,0.00075,0.00000,0.00000,0.00000,0.00000,0.00060,0.00000,0.0041,0.00140,0.00000,0.00000,0.00181,0.00000,7.34,6.57,7.39,43.97,43.17,42.89
Y89,19.30,19.64,18.73,201.10,200.20,198.49,0.0000,0.00000,0.034,0.00000,0.095,0.0000,0.0000,0.0000,0.0000,0.0036,0.0000,0.0000,0.0082,0.0000,0.0054,0.0000,0.0000,0.0053,0.0000,0.00174,0.0000,0.0000,0.0000,18.54,16.43,18.66,202.72,199.15,198.47
Zr90,7.83,7.91,7.59,79.86,79.65,78.67,21.83,28.39,28.17,15.34,17.53,13.38,17.52,21.04,26.58,12.05,18.15,14.74,22.89,22.37,25.54,29.73,36.09,17.63,14.95,13.54,13.03,32.02,10.62,7.54,6.68,7.58,80.52,79.13,78.76
Nb93,104.04,105.37,100.52,1126.18,1120.70,1103.54,36.64,0.289,0.96,2.40,0.0000,0.073,0.0000,0.0315,0.181,0.754,1.387,0.698,1.019,0.0000,0.000,0.0000,0.000,42.70,49.59,17.37,2.28,6.75,46.87,104.36,92.79,103.55,1137.25,1113.77,1103.92
Mo97,28.80,29.02,28.12,300.26,295.21,295.52,0.000,0.00,0.000,0.000,0.30,0.000,0.000,0.000,0.000,0.018,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.00,0.000,0.000,0.000,0.000,0.074,29.06,25.46,28.90,301.67,295.34,294.83
In115,354.54,356.43,338.99,3756.88,3778.58,3770.69,33742.09,38397.87,33990.09,34277.74,32761.64,34413.95,34530.09,34646.74,34252.77,33871.19,33825.98,34355.52,35166.73,34663.25,34522.80,34027.22,34910.56,35981.36,33056.75,33044.16,32809.16,36542.63,33405.48,360.91,318.27,357.88,3807.09,3751.96,3751.24
Sn119,15.06,15.06,15.06,157.14,157.14,157.14,312559.47,312559.44,312559.44,312559.44,312559.44,312559.44,312559.47,312559.44,312559.44,312559.47,312559.44,312559.44,312559.44,312559.44,312559.47,312559.44,312559.44,312559.47,312559.44,312559.44,312559.44,312559.44,312559.44,15.06,15.06,15.06,157.14,157.14,157.14
Sn118,15.15,15.49,14.63,156.84,157.37,157.20,322480.66,361548.63,319694.63,362446.03,352732.75,328547.13,324330.78,320963.59,317986.91,326240.44,325690.44,329428.31,326746.84,331048.50,331602.25,333278.19,325627.31,347491.06,328793.34,330683.41,318334.69,327979.47,328466.06,15.21,13.70,15.19,157.95,156.43,157.08
Sb121,147.26,149.30,141.93,1571.74,1589.99,1590.01,44.43,42.68,10.65,8.03,47.70,15.84,77.27,62.16,43.15,3.71,20.71,19.91,4.26,24.56,50.88,62.29,39.70,4.26,4.59,8.46,9.83,5.89,4.94,148.89,133.59,148.48,1588.81,1577.28,1584.58
Cs133,163.04,165.49,158.08,1287.68,1297.53,1296.90,0.201,0.375,0.35,0.246,0.225,0.293,0.216,0.148,0.178,0.166,0.170,0.159,0.221,0.148,0.180,0.188,0.189,0.212,0.144,0.149,0.142,0.219,0.201,161.75,146.12,165.28,1296.90,1287.30,1297.25
La139,116.04,118.69,114.23,1237.79,1252.80,1245.24,0.0000,0.027,0.0000,0.065,0.0000,0.0000,0.0244,0.0000,0.0000,0.0000,0.0144,0.0147,0.0078,0.0000,0.0294,0.0000,0.0173,0.0000,0.0298,0.0000,0.0073,0.0134,0.0072,112.74,100.85,113.80,1250.64,1240.56,1244.52
Ce140,43.86,45.53,43.22,465.80,469.90,468.80,0.0640,0.077,0.079,0.079,0.0000,0.0531,0.0387,0.0462,0.0355,0.0286,0.0432,0.0374,0.0586,0.0303,0.0301,0.0301,0.0358,0.070,0.0918,0.0487,0.0618,0.062,0.0362,43.74,39.51,44.97,469.57,465.59,469.17
Nd143,55.18,57.33,54.57,601.81,610.51,606.49,0.055,0.00,0.000,0.0000,0.00,0.000,0.033,0.0229,0.045,0.000,0.046,0.000,0.000,0.0118,0.000,0.047,0.0229,0.000,0.000,0.000,0.0120,0.000,0.0119,54.20,48.54,55.94,607.31,603.19,607.91
Sm147,180.68,186.85,178.26,1931.11,1959.76,1968.62,0.000,0.000,0.000,0.000,0.54,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.00,0.000,0.000,0.000,0.000,0.113,0.090,0.061,0.112,0.000,176.43,159.80,182.74,1952.17,1940.28,1963.17
Eu151,465.68,484.02,463.96,5218.45,5351.23,5334.65,0.000,0.00,0.000,0.000,0.46,0.096,0.000,0.024,0.000,0.000,0.072,0.074,0.070,0.097,0.000,0.000,0.000,0.000,0.000,0.097,0.050,0.00,0.000,461.23,419.46,474.92,5310.49,5262.04,5320.13
Gd157,140.17,142.17,134.51,1435.51,1459.20,1459.89,7.78,11.41,6.13,8.16,9.55,7.03,8.21,8.15,8.38,7.85,8.48,8.89,8.30,8.32,8.80,8.60,8.58,9.52,8.11,8.38,8.49,6.93,8.08,136.38,118.78,136.62,1448.19,1443.72,1459.90
Tb159,742.52,761.80,718.20,7554.31,7692.80,7675.67,7.38,7.72,6.31,7.81,4.55,7.10,7.16,7.46,7.27,8.20,7.29,7.28,7.58,7.25,6.81,6.81,7.01,6.07,7.48,7.48,7.49,6.96,7.08,711.97,643.34,729.65,7626.98,7589.34,7692.02
Dy163,104.02,105.96,101.41,1111.71,1125.26,1126.28,0.032,0.054,0.0000,0.00,0.16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.031,0.040,0.00,0.00,0.000,0.0210,0.000,0.041,100.17,90.37,103.61,1118.01,1115.31,1128.14
Er167,167.54,168.11,159.83,1697.66,1716.15,1720.21,0.000,0.00,0.33,0.000,0.25,0.000,0.000,0.064,0.000,0.000,0.032,0.000,0.047,0.000,0.000,0.000,0.000,0.00,0.000,0.069,0.000,0.098,0.000,155.13,142.05,161.24,1708.46,1702.64,1720.35
Hf178,233.27,235.35,225.13,2391.19,2419.90,2431.65,36.39,53.11,56.09,28.67,21.73,21.33,22.18,31.74,48.77,16.21,22.98,15.46,59.03,28.59,39.60,51.35,80.29,46.55,39.50,27.61,23.21,93.02,20.23,222.92,203.50,229.68,2416.42,2393.37,2428.97
Ta181,1611.44,1661.57,1585.05,17260.47,17444.09,17462.13,2.58,0.64,1.86,0.000,0.000,0.137,0.000,0.000,0.000,0.045,0.182,0.140,0.00,0.00,0.000,0.000,0.00,2.26,4.21,1.23,0.047,0.34,9.59,1585.75,1453.84,1642.02,17390.50,17268.47,17486.46
W183,474.62,474.96,453.61,4979.27,5005.16,5016.96,16454.73,9002.20,2162.14,133227.52,4758.23,1271.02,10823.66,8045.19,3158.23,181.34,105882.73,49674.20,2350.52,2099.45,3694.36,5578.34,5236.11,33295.95,39220.95,97672.36,126714.90,142356.19,42069.91,467.51,427.55,489.12,5011.06,4981.16,5006.74
Pb206,10.84,11.22,10.62,116.55,116.68,116.90,0.289,1.379,1.03,0.273,0.268,0.0445,0.284,0.268,0.224,0.0350,0.170,0.135,0.059,0.0647,0.136,0.196,0.182,1.082,0.0656,0.141,0.180,0.539,0.0438,11.53,10.57,11.73,117.38,115.91,116.86
U238,3386.22,3458.19,3329.92,37132.35,38238.21,38213.27,253.79,222.31,25.25,131.50,268.48,49.78,352.34,333.30,234.31,8.57,187.79,143.23,14.63,81.37,162.81,220.50,189.91,50.93,61.85,134.40,194.88,193.80,47.47,3299.02,3140.17,3543.65,37550.73,37656.73,38226.71
Tc97,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00
Sn115,14.78,14.86,14.13,156.63,157.53,157.20,1406.74,1600.84,1417.08,1429.07,1365.86,1434.75,1439.59,1444.46,1428.03,1412.12,1410.24,1432.31,1466.14,1445.14,1439.29,1418.63,1455.46,1500.10,1378.17,1377.64,1367.85,1523.50,1392.71,15.05,13.27,14.92,158.72,156.42,156.39
Pm147,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00
Pu238,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00,<-1.00
