Order	Sample	Sn	Fe	
260	CS14_Renison_K_13	78.76496534	0.5771	
261	CS14_Tinshafts_D_1	78.76496534	0.3898	
262	CS14_Tinshafts_D_2	78.76496534	0.3898	
263	CS14_Tinshafts_D_3	78.76496534	0.4081	
264	NIST612_30	0.00386	0.0051	
265	NIST610_30	0.043	0.0458	
266	CS14_Tinshafts_D_4	78.76496534	0.4571	
267	CS14_Tinshafts_D_5	78.76496534	0.4982	
268	CS14_Tinshafts_D_6	78.76496534	0.5083	
269	CS14_Tinshafts_D_7	78.76496534	0.5442	
270	CS14_Tinshafts_D_8	78.76496534	0.5495	
271	CS14_Tinshafts_D_9	78.76496534	0.5637	
272	CS14_Tinshafts_D_10	78.76496534	0.5209	
273	NIST612_31	0.00386	0.0051	
274	NIST610_31	0.043	0.0458	
275	CS14_Tinshafts_D_11	78.76496534	0.4969	
276	CS14_Tinshafts_D_12	78.76496534	0.5030	
277	CS14_Tinshafts_D_13	78.76496534	0.5187	
278	CS14_Tinshafts_D_14	78.76496534	0.5226	
279	CS14_Tinshafts_D_15	78.76496534	0.5213	
280	CS14_Tinshafts_D_16	78.76496534	0.5232	
281	CS14_Tinshafts_D_17	78.76496534	0.4448	
282	CS14_Tinshafts_D_18	78.76496534	0.3410	
283	NIST612_32	0.00386	0.0051	
284	NIST610_32	0.043	0.0458	
285	NIST612_33	0.00386	0.0051	
286	NIST610_33	0.043	0.0458	
