Sample	Fe
NIST610_31	0.0458
CS14_Tinshafts_D_11	0.4969
CS14_Tinshafts_D_12	0.503
CS14_Tinshafts_D_13	0.5187
CS14_Tinshafts_D_14	0.5226
CS14_Tinshafts_D_15	0.5213
CS14_Tinshafts_D_16	0.5232
CS14_Tinshafts_D_17	0.4448
CS14_Tinshafts_D_18	0.341
NIST612_32	0.0051
NIST610_32	0.0458
NIST612_33	0.0051
NIST610_33	0.0458
