Sample ID,SAMPLE,STYLE,Spot ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Y_ppm_m89,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD
#169518,Moolyella - MY02,Pegmatite,MY02_02,119Sn,80.26,0.77,386.36,203.24,4902.01,1387.97,4194.58,648323.94,1.061,0.009,0.01,0.007,0.026,0.018,0.005,1.227,0.193,0.018,0.241,0.008,0.017,0.008,0.151,0.029,414.43,16112.94,4.5,0.015,0.002,0.005,11.02,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_04,119Sn,91.04,0.83,454.2,175.16,4788.65,1587.97,4343.59,764263.06,1.54,0.006,0.033,0.005,0.03,0.02,-,1.487,0.255,0.028,0.276,0.005,0.032,0.011,0.214,0.041,458.31,14850.4,4.14,0.032,0.003,0.006,10.15,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_06,119Sn,82.12,1.48,500.88,176.27,5303.86,1528.04,5573.57,730156,1.04,0.042,0.07,0.015,0.044,0.008,0.005,1.498,0.262,0.06,0.374,0.011,0.017,0.012,0.205,0.047,373.09,13923.35,7.46,0.144,0.003,0.175,14.39,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_08,119Sn,65.95,0.89,368.39,133.68,3995.51,1192.39,3877.42,550854.56,0.753,0.008,0.009,0.004,0.041,0.027,0.004,0.998,0.18,0.024,0.203,0.006,0.019,0.01,0.151,0.024,316.06,11504.2,4.16,0.011,0.002,0.001,9.48,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_10,119Sn,91.29,1.25,512.94,168.26,5296.79,1599.17,5413.12,780481.31,1.089,0.01,0.016,0.004,0.039,0.028,0.005,1.581,0.278,0.021,0.328,0.007,0.035,0.013,0.227,0.041,410.68,14806.25,5.86,0.015,0.004,0.002,13.39,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_12,119Sn,44.64,0.66,267.46,91.33,2911.55,809.03,3068.12,377248.66,0.477,0.003,0.01,0.001,0.019,0.011,0.002,0.709,0.124,0.024,0.158,0.004,0.014,0.007,0.113,0.022,195.93,7787.19,3.76,0.015,0.002,0.001,8.17,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_14,119Sn,92.46,1.68,564.16,143.53,5089.26,1695.57,5185.28,838330.88,1.058,0.005,0.012,0.004,0.032,0.027,0.007,1.671,0.284,0.019,0.356,0.006,0.033,0.013,0.209,0.044,456.02,14691.47,4.12,0.017,0.004,0.002,13.79,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_16,119Sn,98.63,2.48,604.92,177.68,6432.26,1700.79,6903.55,828576.5,1.028,0.01,0.034,0.011,0.039,0.02,0.008,1.753,0.287,0.042,0.448,0.01,0.042,0.019,0.276,0.049,415.96,17481.44,8.5,0.035,0.003,0.005,17.02,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_18,119Sn,76.44,2.23,561.84,189.09,6589.11,1503.75,6922.38,649224.5,0.79,0.004,0.012,0.004,0.031,0.024,0.006,1.366,0.223,0.037,0.408,0.007,0.035,0.017,0.303,0.056,358.22,17516.76,10.7,0.013,0.028,0.002,18.04,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_20,119Sn,89.04,1.82,542.77,138.96,5145.42,1483.55,5087.58,783090.94,0.887,0.008,0.015,0.008,0.054,0.028,0.005,1.549,0.286,0.037,0.325,0.009,0.02,0.011,0.211,0.04,394.16,13967.5,5.54,0.043,0.004,0.002,11.08,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
