SPOT_ID,SAMPLE,LOCALITY,STYLE,Date LAICP,IS,Element,Sc45,Ti49,Mn55,Fe57,Ga69,Y89,Zr90,Nb93,Sn119,Sb121,Ce140,Yb173,Hf178,Ta181,W183,Pb208,Th232,U238,Sc45_Int2SE,Ti49_Int2SE,Mn55_Int2SE,Fe57_Int2SE,Ga69_Int2SE,Y89_Int2SE,Zr90_Int2SE,Nb93_Int2SE,Sn119_Int2SE,Sb121_Int2SE,Ce140_Int2SE,Yb173_Int2SE,Hf178_Int2SE,Ta181_Int2SE,W183_Int2SE,Pb208_Int2SE,Th232_Int2SE,U238_Int2SE,Sc45_LOD,Ti49_LOD,Mn55_LOD,Fe57_LOD,Ga69_LOD,Y89_LOD,Zr90_LOD,Nb93_LOD,Sn119_LOD,Sb121_LOD,Ce140_LOD,Yb173_LOD,Hf178_LOD,Ta181_LOD,W183_LOD,Pb208_LOD,Th232_LOD,U238_LOD
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGa2,<1.13,233.93,69.35,1975.56,6,<0.057,384.98,2471.19,787649.63,0.299,<0.0079,<0.025,147.15,16260.79,2.57,0.0141,<0.0027,0.904,0.94,35.02,9.8,471.22,1.1,0.044,47.26,261.34,36640.8,0.058,0.0066,0.022,6.48,701.98,0.164,0.0098,0.0024,0.046,1.13,3.04,1.09,98.75,0.599,0.0567,0.134,0.042,0.314,0.051,0.00786,0.0249,0.00975,0.00373,0.0295,0.0108,0.00269,0.00218
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGb,<1.26,219.94,62.43,1569.23,4.82,<0.058,966.97,1735.24,787649.69,0.228,0.0102,<0.033,235.5,13508.7,1.413,0.0241,0.0054,0.857,1,32.92,8.84,378.64,0.96,0.046,118.62,183.5,36640.78,0.058,0.0076,0.026,10.36,583.16,0.104,0.0112,0.0028,0.044,1.26,3.39,1.22,110.35,0.665,0.0585,0.151,0.0531,0.369,0.0617,0.00899,0.0334,0.0119,0.00336,0.0289,0.0128,0.00301,0.00237
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGc,<1.34,345.03,591.15,6479.76,7.51,<0.075,1037.05,17781.65,787649.69,0.304,<0.0092,<0.029,233.02,34467.37,23.81,<0.0136,<0.0036,7.98,1.06,51.32,83.04,1522.88,1.34,0.058,127.2,1880.28,36640.78,0.066,0.007,0.024,10.24,1487.94,1.14,0.0108,0.0026,0.38,1.34,3.75,1.29,116.74,0.724,0.0752,0.143,0.0541,0.399,0.0666,0.00919,0.0294,0.0119,0.00381,0.036,0.0136,0.00355,0.00278
P2-2 ,P2,Moolyella,Pegmatite,19/08/2009,119Sn,P-71,<1.06,204.15,1653.44,3389.07,11.79,0.613,1713.44,5600.13,738153.88,0.343,<0.0074,0.149,485.44,37807.72,5.68,0.0439,<0.0028,4.55,0.86,30.56,232.2,798.88,1.94,0.094,210.14,592.18,34338.28,0.056,0.0062,0.028,21.34,1632.14,0.3,0.011,0.0024,0.22,1.06,2.98,1.04,93.29,0.559,0.0492,0.133,0.0362,0.313,0.0474,0.00737,0.0242,0.00879,0.00326,0.0308,0.0109,0.00282,0.00216
P2-3 ,P2,Moolyella,Pegmatite,19/08/2009,119Sn,P-72,<1.10,189.44,1125.35,2775.63,14.25,24.38,1353.03,5114.23,751709.13,0.387,4.75,0.863,354.71,27334.45,7.5,0.258,9.86,42.86,0.86,28.38,158.04,655.98,2.32,2.62,165.94,540.8,34968.84,0.06,0.22,0.062,15.58,1180.02,0.38,0.022,0.46,2.02,1.1,3.03,1.09,97.79,0.587,0.0547,0.146,0.0396,0.316,0.0508,0.00752,0.0263,0.0117,0.00351,0.0223,0.0101,0.00308,0.00253
P2-4 ,P2,Moolyella,Pegmatite,19/08/2009,119Sn,P-73,<1.06,172.11,954.82,2315.3,12.79,0.305,1152.09,4115.77,754568.44,0.283,<0.0073,0.073,327.55,23371.86,5.18,0.0183,<0.0028,2.494,0.86,25.84,134.1,548.7,2.1,0.066,141.3,435.22,35101.86,0.054,0.006,0.024,14.4,1008.96,0.28,0.009,0.0022,0.122,1.06,2.83,1.04,93.25,0.566,0.053,0.134,0.0436,0.328,0.0484,0.0073,0.0248,0.00969,0.0036,0.0248,0.00982,0.00281,0.00207
star trek-2-1 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-98,<1.12,11.64,<1.11,1064.35,2.97,<0.057,10.67,5.28,786783.25,0.894,0.0119,<0.031,0.449,0.1393,401.81,0.033,0.0069,1.624,0.88,3.18,0.88,261.94,0.7,0.044,1.36,0.58,36600.46,0.088,0.0064,0.024,0.032,0.0102,18.5,0.0098,0.0028,0.08,1.12,3.08,1.11,98.85,0.612,0.0567,0.136,0.0486,0.321,0.0528,0.00711,0.031,0.00979,0.00362,0.02,0.0103,0.00284,0.00232
star trek-2-2 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-99,<1.14,1044.56,<1.16,<101.78,<0.62,0.084,102.88,23.62,791509.13,0.523,0.0186,0.032,6.98,8.8,3.266,0.0191,0.0398,2.151,0.9,154.22,0.94,80.16,0.5,0.05,12.66,2.52,36820.3,0.068,0.0078,0.024,0.32,0.38,0.19,0.0106,0.0048,0.104,1.14,2.98,1.16,101.78,0.625,0.0575,0.136,0.0473,0.343,0.0509,0.00846,0.0276,0.0104,0.00301,0.0332,0.0124,0.00273,0.00205
star trek-2-3 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-100,3.66,3.57,<1.14,258.71,<0.63,<0.054,11.51,<0.050,780167,0.524,<0.0081,<0.029,0.404,<0.0034,7571.5,0.0142,<0.0033,2.77,1.08,2.64,0.92,100.64,0.52,0.044,1.46,0.04,36292.68,0.07,0.0066,0.024,0.03,0.0028,347.92,0.0098,0.0024,0.134,1.12,3.13,1.14,100.16,0.625,0.0542,0.144,0.0497,0.352,0.0552,0.00811,0.0289,0.00874,0.00336,0.0337,0.0112,0.00326,0.00253
star trek-2-6 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-103,<1.07,<2.97,<1.10,1959.19,5.24,<0.052,11.15,<0.042,792745.81,1.238,<0.0078,0.066,0.354,<0.0034,37.62,0.0136,<0.0029,1.791,0.86,2.36,0.88,466.22,0.98,0.042,1.42,0.034,36877.82,0.108,0.0064,0.022,0.028,0.0028,1.78,0.0096,0.0022,0.088,1.07,2.97,1.1,95.68,0.591,0.0523,0.141,0.0424,0.336,0.0503,0.0078,0.0242,0.00989,0.00345,0.0282,0.0112,0.00289,0.00196
