SPOT_ID,LOCALITY,SAMPLE,STYLE,IS,RELDIST,Source file,DateTime,Date,Time,Duration(s),Comments,Total points,Selection type,Components,Fe57_CPS,Fe57_CPS_Int2SE,Fe57_CPS_LOD,IntStdWv,IntStdWv_Int2SE,IntStdWv_LOD,Li_ppm_m7,Li_ppm_m7_Int2SE,Li_ppm_m7_LOD,Al_ppm_m27,Al_ppm_m27_Int2SE,Al_ppm_m27_LOD,Si_ppm_m29,Si_ppm_m29_Int2SE,Si_ppm_m29_LOD,P_ppm_m31,P_ppm_m31_Int2SE,P_ppm_m31_LOD,Ca_ppm_m44,Ca_ppm_m44_Int2SE,Ca_ppm_m44_LOD,Sc_ppm_m45,Sc_ppm_m45_Int2SE,Sc_ppm_m45_LOD,Ti_ppm_m49,Ti_ppm_m49_Int2SE,Ti_ppm_m49_LOD,V_ppm_m51,V_ppm_m51_Int2SE,V_ppm_m51_LOD,Cr_ppm_m52,Cr_ppm_m52_Int2SE,Cr_ppm_m52_LOD,Mn_ppm_m55,Mn_ppm_m55_Int2SE,Mn_ppm_m55_LOD,Co_ppm_m59,Co_ppm_m59_Int2SE,Co_ppm_m59_LOD,Ni_ppm_m60,Ni_ppm_m60_Int2SE,Ni_ppm_m60_LOD,Cu_ppm_m65,Cu_ppm_m65_Int2SE,Cu_ppm_m65_LOD,Zn_ppm_m66,Zn_ppm_m66_Int2SE,Zn_ppm_m66_LOD,Ga_ppm_m69,Ga_ppm_m69_Int2SE,Ga_ppm_m69_LOD,Ga_ppm_m71,Ga_ppm_m71_Int2SE,Ga_ppm_m71_LOD,Ge_ppm_m72,Ge_ppm_m72_Int2SE,Ge_ppm_m72_LOD,As_ppm_m75,As_ppm_m75_Int2SE,As_ppm_m75_LOD,m77__Cl_CPS,m77__Cl_CPS_Int2SE,m77__Cl_CPS_LOD,Se_ppm_m82,Se_ppm_m82_Int2SE,Se_ppm_m82_LOD,Kr83_CPS,Kr83_CPS_Int2SE,Kr83_CPS_LOD,Rb_ppm_m85,Rb_ppm_m85_Int2SE,Rb_ppm_m85_LOD,Sr_ppm_m88,Sr_ppm_m88_Int2SE,Sr_ppm_m88_LOD,Y_ppm_m89,Y_ppm_m89_Int2SE,Y_ppm_m89_LOD,Zr_ppm_m90,Zr_ppm_m90_Int2SE,Zr_ppm_m90_LOD,Nb_ppm_m93,Nb_ppm_m93_Int2SE,Nb_ppm_m93_LOD,Mo_ppm_m97,Mo_ppm_m97_Int2SE,Mo_ppm_m97_LOD,In_ppm_m113,In_ppm_m113_Int2SE,In_ppm_m113_LOD,Sn_ppm_m117,Sn_ppm_m117_Int2SE,Sn_ppm_m117_LOD,Sn_ppm_m119,Sn_ppm_m119_Int2SE,Sn_ppm_m119_LOD,Sb_ppm_m121,Sb_ppm_m121_Int2SE,Sb_ppm_m121_LOD,Cs_ppm_m133,Cs_ppm_m133_Int2SE,Cs_ppm_m133_LOD,Ba_ppm_m138,Ba_ppm_m138_Int2SE,Ba_ppm_m138_LOD,La_ppm_m139,La_ppm_m139_Int2SE,La_ppm_m139_LOD,Ce_ppm_m140,Ce_ppm_m140_Int2SE,Ce_ppm_m140_LOD,Nd_ppm_m146,Nd_ppm_m146_Int2SE,Nd_ppm_m146_LOD,Lu_ppm_m175,Lu_ppm_m175_Int2SE,Lu_ppm_m175_LOD,Hf_ppm_m179,Hf_ppm_m179_Int2SE,Hf_ppm_m179_LOD,Ta_ppm_m181,Ta_ppm_m181_Int2SE,Ta_ppm_m181_LOD,W_ppm_m182,W_ppm_m182_Int2SE,W_ppm_m182_LOD,W_ppm_m183,W_ppm_m183_Int2SE,W_ppm_m183_LOD,Tl_ppm_m205,Tl_ppm_m205_Int2SE,Tl_ppm_m205_LOD,Pb_ppm_m208,Pb_ppm_m208_Int2SE,Pb_ppm_m208_LOD,Bi_ppm_m209,Bi_ppm_m209_Int2SE,Bi_ppm_m209_LOD,Th_ppm_m232,Th_ppm_m232_Int2SE,Th_ppm_m232_LOD,U_ppm_m238,U_ppm_m238_Int2SE,U_ppm_m238_LOD,Fe_EPMA_ppm
BT_161,Blue Tier,BT1,Greisen,57Fe,4133.605313,Jason_cass_2,20/02/2018 (3) 16:43:25.38,20/02/2018 (3),43:25.4,29.037,BT_main_161,29,Normal,1,1.51E+04,1.20E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.18,41.2,2.5,1.6,2.35E+04,3.00E+03,NaN,70,12,NaN,Below LOD,Below LOD,110,3.43,0.36,0.32,402,22,0.83,Below LOD,Below LOD,0.17,Below LOD,Below LOD,1.9,5.4,1.5,3.4,2.21,0.19,0.066,12.28,0.94,0.72,Below LOD,Below LOD,0.58,Below LOD,Below LOD,0.43,1.33,0.14,0.17,1.47,0.22,0.044,Below LOD,Below LOD,0.56,Below LOD,Below LOD,0.23,17,12,NaN,Below LOD,Below LOD,2.5,33,59,NaN,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.024,0.027,0.012,0.013,224,10,0.029,526,30,0.016,Below LOD,Below LOD,0.094,0.98,0.22,0.17,1.26E+05,5.30E+03,2,1.12E+05,4.70E+03,2.6,7.5,2.6,0.094,0.255,0.057,0.074,0.077,0.027,0.022,0.046,0.013,0.012,0.0235,0.0087,0.019,Below LOD,Below LOD,0.013,0.0375,0.0099,0.0051,30.3,1.6,0.013,148.4,5.5,0.0095,15.79,0.86,0.023,15.73,0.99,0.11,Below LOD,Below LOD,0.01,Below LOD,Below LOD,0.071,Below LOD,Below LOD,0.017,Below LOD,Below LOD,0.0028,3.78,0.24,0.0025,869.42
BT_162,Blue Tier,BT1,Greisen,57Fe,4158.162942,Jason_cass_2,20/02/2018 (3) 16:44:35.55,20/02/2018 (3),44:35.6,29.078,BT_main_162,30,Normal,1,9.50E+03,1.50E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.27,47.6,2.5,2.7,4.34E+04,5.80E+03,NaN,86,33,NaN,Below LOD,Below LOD,170,1.9,0.47,0.5,120,16,1.4,Below LOD,Below LOD,0.28,Below LOD,Below LOD,3,Below LOD,Below LOD,5.5,3.93,0.53,0.12,22.4,2.5,1.2,Below LOD,Below LOD,1,Below LOD,Below LOD,0.71,1.28,0.3,0.3,1.3,0.29,0.071,Below LOD,Below LOD,0.95,Below LOD,Below LOD,0.32,11,12,NaN,Below LOD,Below LOD,3.8,-47,41,NaN,Below LOD,Below LOD,0.2,Below LOD,Below LOD,0.038,0.019,0.013,0.0046,212,11,0.039,288,18,0.025,Below LOD,Below LOD,0.042,2.37,0.47,0.26,2.17E+05,1.90E+04,2.8,1.95E+05,1.80E+04,3.7,13.4,5.5,0.13,0.482,0.087,0.11,0.185,0.058,0.036,0.1,0.032,0.0046,0.05,0.025,0.029,Below LOD,Below LOD,0.021,0.022,0.012,0.0029,20.9,1.2,0.021,117.7,6.2,0.013,13.31,0.93,0.013,14.4,1.4,0.048,Below LOD,Below LOD,0.024,Below LOD,Below LOD,0.094,Below LOD,Below LOD,0.031,Below LOD,Below LOD,0.0045,1.68,0.14,0.004,887.845
BT_163,Blue Tier,BT1,Greisen,57Fe,4183.166928,Jason_cass_2,20/02/2018 (3) 16:45:45.73,20/02/2018 (3),45:45.7,29.043,BT_main_163,29,Normal,1,1.54E+04,1.20E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.15,37.3,1.8,1.4,1.65E+04,2.20E+03,NaN,27,14,NaN,Below LOD,Below LOD,92,3.62,0.34,0.29,36.9,2.5,0.54,Below LOD,Below LOD,0.16,Below LOD,Below LOD,1.6,3.2,1.1,3,1.8,0.2,0.054,10.26,0.79,0.65,Below LOD,Below LOD,0.48,Below LOD,Below LOD,0.39,1,0.11,0.16,1.18,0.19,0.013,Below LOD,Below LOD,0.49,Below LOD,Below LOD,0.18,8,10,NaN,Below LOD,Below LOD,2,2,72,NaN,Below LOD,Below LOD,0.1,Below LOD,Below LOD,0.019,0.0116,0.0061,0.007,186.5,6.7,0.018,347,14,0.013,Below LOD,Below LOD,0.094,0.89,0.21,0.13,1.06E+05,3.40E+03,1.9,9.49E+04,2.60E+03,2.1,6.4,3.3,0.064,0.218,0.044,0.055,0.062,0.026,0.024,0.05,0.014,0.01,0.018,0.01,0.015,0.014,0.016,0.011,0.0296,0.0068,0.0016,19.26,0.91,0.011,158.9,5.5,0.0069,17.3,0.72,0.0071,17.7,1.2,0.026,Below LOD,Below LOD,0.0087,Below LOD,Below LOD,0.046,Below LOD,Below LOD,0.018,Below LOD,Below LOD,0.0024,2.33,0.11,0.0022,755.38
BT_164,Blue Tier,BT1,Greisen,57Fe,4208.617272,Jason_cass_2,20/02/2018 (3) 16:46:55.93,20/02/2018 (3),46:55.9,29.039,BT_main_164,29,Normal,1,1.78E+04,1.60E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.11,30.8,1.8,1.1,1.38E+04,1.60E+03,NaN,30,12,NaN,Below LOD,Below LOD,67,4.66,0.31,0.18,66.4,5.2,0.73,0.244,0.064,0.11,1.66,0.83,1.2,2.67,0.99,2.1,1.31,0.11,0.056,7.65,0.76,0.5,Below LOD,Below LOD,0.31,Below LOD,Below LOD,0.32,0.914,0.095,0.11,0.76,0.11,0.056,Below LOD,Below LOD,0.39,Below LOD,Below LOD,0.16,18,13,NaN,Below LOD,Below LOD,1.6,18,57,NaN,Below LOD,Below LOD,0.096,Below LOD,Below LOD,0.018,0.0104,0.0055,0.0018,125.2,4.4,0.0036,373,19,0.0019,0.02,0.023,0.017,0.69,0.12,0.09,7.96E+04,3.00E+03,2,6.98E+04,2.90E+03,2.5,5,2.2,0.063,0.157,0.031,0.044,0.05,0.015,0.0031,0.043,0.011,0.0018,0.0214,0.0076,0.0099,Below LOD,Below LOD,0.0084,0.033,0.01,0.0011,11.62,0.6,0.0083,123.3,5.9,0.016,19.2,0.84,0.0052,20,1.3,0.019,Below LOD,Below LOD,0.0023,Below LOD,Below LOD,0.0067,Below LOD,Below LOD,0.015,Below LOD,Below LOD,0.0018,2.32,0.1,0.0016,650.855
BT_165,Blue Tier,BT1,Greisen,57Fe,4234.063701,Jason_cass_2,20/02/2018 (3) 16:48:06.10,20/02/2018 (3),48:06.1,29.06,BT_main_165,30,Normal,1,1.54E+04,1.40E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.18,42.5,2.1,1.7,2.18E+04,3.30E+03,NaN,51,22,NaN,Below LOD,Below LOD,110,5.06,0.48,0.32,26.3,3,0.15,Below LOD,Below LOD,0.17,2.2,1.2,1.8,Below LOD,Below LOD,3.3,2.17,0.18,0.062,13.23,0.91,0.72,Below LOD,Below LOD,0.57,Below LOD,Below LOD,0.41,1.08,0.15,0.17,1.17,0.16,0.015,Below LOD,Below LOD,0.59,Below LOD,Below LOD,0.22,33,19,NaN,Below LOD,Below LOD,2.6,-26,30,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.037,0.0066,0.0071,0.0028,217.9,7,0.0056,393,15,0.011,Below LOD,Below LOD,0.025,0.94,0.2,0.24,1.23E+05,5.10E+03,1.9,1.09E+05,4.50E+03,1.5,6.6,2.6,0.064,0.299,0.055,0.076,0.101,0.023,0.043,0.047,0.016,0.011,0.029,0.014,0.022,Below LOD,Below LOD,0.013,0.055,0.015,0.0017,16.92,0.98,0.013,67.4,2.8,0.0017,21.52,0.89,0.0079,22,1.3,0.03,Below LOD,Below LOD,0.0035,Below LOD,Below LOD,0.052,Below LOD,Below LOD,0.015,Below LOD,Below LOD,0.0027,2.78,0.15,0.0024,874.71
BT_166,Blue Tier,BT1,Greisen,57Fe,4257.741255,Jason_cass_2,20/02/2018 (3) 16:49:16.26,20/02/2018 (3),49:16.3,29.036,BT_main_166,29,Normal,1,2.19E+04,1.90E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.27,95,5.3,2.6,4.24E+04,5.30E+03,NaN,68,29,NaN,Below LOD,Below LOD,170,12.76,0.77,0.51,146,11,1.1,0.29,0.14,0.28,Below LOD,Below LOD,3,11.3,2,5.4,3.37,0.31,0.11,20.2,1.4,1.2,Below LOD,Below LOD,0.85,Below LOD,Below LOD,0.76,2.47,0.32,0.27,3.02,0.47,0.025,Below LOD,Below LOD,0.88,Below LOD,Below LOD,0.32,20,12,NaN,Below LOD,Below LOD,3.6,5,52,NaN,Below LOD,Below LOD,0.2,Below LOD,Below LOD,0.037,0.087,0.026,0.0047,425,19,0.042,1278,59,0.027,0.085,0.072,0.043,2.3,0.43,0.2,2.03E+05,8.90E+03,3.8,1.81E+05,8.40E+03,3.8,16.7,6.1,0.12,0.437,0.075,0.11,0.123,0.03,0.056,0.086,0.02,0.013,0.059,0.021,0.031,Below LOD,Below LOD,0.021,0.116,0.027,0.0029,38.1,2.3,0.021,1290,170,0.021,67.8,3.5,0.013,70.4,4.6,0.049,Below LOD,Below LOD,0.024,Below LOD,Below LOD,0.091,Below LOD,Below LOD,0.03,Below LOD,Below LOD,0.0045,7.23,0.33,0.011,2004.145
BT_167,Blue Tier,BT1,Greisen,57Fe,4280.972705,Jason_cass_2,20/02/2018 (3) 16:52:46.76,20/02/2018 (3),52:46.8,29.119,BT_main_167,29,Normal,1,2.49E+04,2.40E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.2,59.2,2.6,1.6,2.22E+04,2.60E+03,NaN,38,12,NaN,Below LOD,Below LOD,110,7.05,0.51,0.33,528,21,0.75,0.33,0.14,0.18,Below LOD,Below LOD,1.8,13.7,1.6,3.4,1.91,0.19,0.074,12.96,0.98,0.74,Below LOD,Below LOD,0.55,Below LOD,Below LOD,0.42,1.74,0.16,0.17,1.99,0.33,0.063,Below LOD,Below LOD,0.6,Below LOD,Below LOD,0.32,16,12,NaN,Below LOD,Below LOD,2.4,15,46,NaN,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.034,0.084,0.021,0.014,292,14,0.036,1284,65,0.016,Below LOD,Below LOD,0.11,1.39,0.28,0.2,1.23E+05,4.90E+03,1.2,1.10E+05,5.60E+03,1.4,9.5,3,0.11,0.29,0.06,0.072,0.083,0.027,0.035,0.065,0.025,0.017,0.026,0.016,0.02,Below LOD,Below LOD,0.046,0.089,0.013,0.0088,32.6,1.7,0.013,730,190,0.0078,41.9,4.6,0.028,47.4,2.7,0.03,Below LOD,Below LOD,0.018,Below LOD,Below LOD,0.059,Below LOD,Below LOD,0.029,Below LOD,Below LOD,0.0077,6.76,0.3,0.012,1405.115
BT_168,Blue Tier,BT1,Greisen,57Fe,4306.423049,Jason_cass_2,20/02/2018 (3) 16:53:57.05,20/02/2018 (3),53:57.1,29.068,BT_main_168,29,Normal,1,2.24E+04,2.70E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.22,65.6,3.5,1.9,2.75E+04,3.10E+03,NaN,66,27,NaN,Below LOD,Below LOD,130,4.2,0.37,0.4,738,55,0.63,0.51,0.14,0.21,2.6,1.5,2.2,12.4,1.9,4,2.44,0.3,0.083,15.9,1.5,0.83,Below LOD,Below LOD,0.63,Below LOD,Below LOD,1.4,2.21,0.22,0.2,2.47,0.3,0.018,Below LOD,Below LOD,0.71,Below LOD,Below LOD,0.32,7,10,NaN,Below LOD,Below LOD,2.9,-8,48,NaN,Below LOD,Below LOD,0.15,Below LOD,Below LOD,0.038,0.067,0.021,0.0035,243.9,9,0.024,1160,58,0.0035,Below LOD,Below LOD,0.11,1.15,0.27,0.23,1.50E+05,7.70E+03,1.2,1.35E+05,6.60E+03,1.5,13.5,4.7,0.12,0.353,0.061,0.08,0.097,0.033,0.03,0.065,0.022,0.012,0.032,0.016,0.022,Below LOD,Below LOD,0.016,0.097,0.019,0.0058,25.7,1.5,0.016,800,170,0.0071,26.6,3.7,0.0097,26.5,3.1,0.036,Below LOD,Below LOD,0.028,Below LOD,Below LOD,0.061,Below LOD,Below LOD,0.032,Below LOD,Below LOD,0.0091,1.91,0.24,0.0081,1524.93
BT_169,Blue Tier,BT1,Greisen,57Fe,4335.717745,Jason_cass_2,20/02/2018 (3) 16:55:07.22,20/02/2018 (3),55:07.2,29.051,BT_main_169,30,Normal,1,2.53E+04,1.70E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.2,86.4,3.8,1.9,2.93E+04,3.50E+03,NaN,75,19,NaN,Below LOD,Below LOD,120,4.35,0.34,0.37,542,40,0.71,0.4,0.12,0.19,Below LOD,Below LOD,2.1,5.7,1.2,3.8,2.28,0.19,0.086,14.36,0.94,0.78,Below LOD,Below LOD,0.62,Below LOD,Below LOD,0.48,2.31,0.19,0.19,2.66,0.32,0.049,0.66,0.29,0.66,Below LOD,Below LOD,0.25,-2.2,5.1,NaN,Below LOD,Below LOD,2.7,-1,70,NaN,Below LOD,Below LOD,0.14,Below LOD,Below LOD,0.027,0.049,0.015,0.0032,214,8.3,0.03,844,41,0.019,Below LOD,Below LOD,0.083,1.71,0.27,0.18,1.36E+05,5.00E+03,1.8,1.22E+05,4.80E+03,2.9,12.6,4.1,0.095,0.27,0.052,0.075,0.1,0.025,0.035,0.048,0.014,0.0032,0.024,0.015,0.0087,Below LOD,Below LOD,0.015,0.089,0.016,0.002,17.6,1.1,0.014,321,14,0.0098,34.4,1.5,0.025,35.8,2.3,0.034,Below LOD,Below LOD,0.014,Below LOD,Below LOD,0.082,Below LOD,Below LOD,0.026,Below LOD,Below LOD,0.0031,2.05,0.13,0.0028,1643.24
BT_170,Blue Tier,BT1,Greisen,57Fe,4356.330953,Jason_cass_2,20/02/2018 (3) 16:56:17.38,20/02/2018 (3),56:17.4,29.043,BT_main_170,29,Normal,1,2.18E+04,2.50E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.28,104,4.4,2.4,4.00E+04,4.90E+03,NaN,82,30,NaN,Below LOD,Below LOD,160,3.88,0.55,0.49,367,22,0.94,Below LOD,Below LOD,0.26,Below LOD,Below LOD,2.8,Below LOD,Below LOD,5.1,3,0.27,0.12,20.3,1.8,1.1,Below LOD,Below LOD,0.82,Below LOD,Below LOD,3.4,2.95,0.31,0.26,3.52,0.39,0.065,Below LOD,Below LOD,0.84,Below LOD,Below LOD,0.37,9,12,NaN,Below LOD,Below LOD,3.4,18,64,NaN,Below LOD,Below LOD,0.19,Below LOD,Below LOD,0.036,0.029,0.014,0.0043,269,12,0.03,376,61,0.03,Below LOD,Below LOD,0.16,2.03,0.32,0.23,1.87E+05,1.00E+04,2.9,1.67E+05,7.90E+03,4.2,19,7.1,0.13,0.396,0.077,0.1,0.109,0.029,0.03,0.087,0.025,0.012,0.053,0.02,0.029,Below LOD,Below LOD,0.055,0.047,0.011,0.0027,26.1,1.5,0.02,89,39,0.014,35.3,1.9,0.012,35.6,2.5,0.045,Below LOD,Below LOD,0.022,Below LOD,Below LOD,0.072,Below LOD,Below LOD,0.036,Below LOD,Below LOD,0.0042,2.026,0.095,0.0037,1846.97
BT_171,Blue Tier,BT1,Greisen,57Fe,4381.777382,Jason_cass_2,20/02/2018 (3) 16:57:27.52,20/02/2018 (3),57:27.5,29.049,BT_main_171,29,Normal,1,1.87E+04,2.10E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.18,66.4,2.6,1.6,2.25E+04,3.10E+03,NaN,38,16,NaN,Below LOD,Below LOD,110,3.28,0.39,0.33,215,38,0.94,Below LOD,Below LOD,0.17,2.1,1.1,1.9,Below LOD,Below LOD,3.4,2.3,0.26,0.075,12.8,1,0.75,Below LOD,Below LOD,0.56,Below LOD,Below LOD,0.45,1.85,0.23,0.17,2.02,0.26,0.044,Below LOD,Below LOD,0.54,Below LOD,Below LOD,0.2,14,18,NaN,Below LOD,Below LOD,2.4,31,50,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.028,0.0042,0.0043,0.0029,167.7,9.9,0.031,160,13,0.021,Below LOD,Below LOD,0.027,1.15,0.3,0.2,1.25E+05,7.70E+03,2,1.11E+05,6.70E+03,2.3,13.8,5.4,0.089,0.306,0.058,0.066,0.109,0.039,0.022,0.052,0.018,0.0081,0.018,0.011,0.011,Below LOD,Below LOD,0.013,0.033,0.011,0.0018,16.5,1.1,0.013,22.9,3.1,0.0072,19.7,1.1,0.029,20.8,1.4,0.031,Below LOD,Below LOD,0.018,Below LOD,Below LOD,0.064,Below LOD,Below LOD,0.02,Below LOD,Below LOD,0.0028,1.49,0.18,0.0025,1087.48
BT_172,Blue Tier,BT1,Greisen,57Fe,4404.545239,Jason_cass_2,20/02/2018 (3) 16:58:37.80,20/02/2018 (3),58:37.8,29.039,BT_main_172,29,Normal,1,1.41E+04,1.40E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.19,47.7,2.3,1.7,2.96E+04,4.40E+03,NaN,68,18,NaN,Below LOD,Below LOD,110,3.97,0.51,0.33,578,55,0.67,0.27,0.11,0.16,2.1,1.3,2,Below LOD,Below LOD,3.6,2.25,0.23,0.087,14.3,1.2,0.76,Below LOD,Below LOD,0.59,Below LOD,Below LOD,0.47,1.3,0.19,0.18,1.51,0.27,0.016,Below LOD,Below LOD,0.61,Below LOD,Below LOD,0.2,20,16,NaN,Below LOD,Below LOD,2.4,42,69,NaN,Below LOD,Below LOD,0.14,Below LOD,Below LOD,0.036,0.024,0.01,0.0031,198,15,0.025,292,47,0.022,0.048,0.048,0.028,0.69,0.15,0.22,1.35E+05,6.70E+03,2.5,1.20E+05,6.40E+03,2,9.8,4.4,0.073,0.339,0.074,0.072,0.101,0.031,0.034,0.055,0.017,0.0031,0.039,0.019,0.021,Below LOD,Below LOD,0.039,0.029,0.013,0.0019,18.9,2,0.014,78,17,0.0065,15.2,2,0.04,15.3,2.2,0.091,Below LOD,Below LOD,0.011,Below LOD,Below LOD,0.051,Below LOD,Below LOD,0.023,Below LOD,Below LOD,0.003,2.84,0.81,0.0074,882
BT_173,Blue Tier,BT1,Greisen,57Fe,4431.86871,Jason_cass_2,20/02/2018 (3) 16:59:47.96,20/02/2018 (3),59:48.0,29.076,BT_main_173,29,Normal,1,13500,890,NaN,0.1,1,NaN,Below LOD,Below LOD,0.15,33,1.8,1.4,1.77E+04,3.00E+03,NaN,31,19,NaN,Below LOD,Below LOD,91,1.83,0.24,0.29,671,43,0.65,Below LOD,Below LOD,0.17,Below LOD,Below LOD,1.6,4,1.3,2.9,1.86,0.19,0.061,10.55,0.86,0.65,Below LOD,Below LOD,0.45,Below LOD,Below LOD,0.5,0.89,0.11,0.14,1.12,0.15,0.013,Below LOD,Below LOD,0.47,Below LOD,Below LOD,0.18,11,12,NaN,Below LOD,Below LOD,2,31,67,NaN,Below LOD,Below LOD,0.1,Below LOD,Below LOD,0.027,0.0164,0.009,0.0025,197.6,7.9,0.017,310,17,0.007,0.023,0.026,0.022,0.54,0.17,0.17,1.02E+05,4.60E+03,1.4,9.04E+04,4.30E+03,2.5,7.6,2.8,0.065,0.197,0.046,0.06,0.066,0.021,0.031,0.048,0.019,0.0086,0.019,0.011,0.017,Below LOD,Below LOD,0.011,0.0271,0.009,0.0042,21.3,1.1,0.011,93.1,5.8,0.014,12.58,0.89,0.0069,12.7,1.1,0.026,Below LOD,Below LOD,0.0085,Below LOD,Below LOD,0.051,Below LOD,Below LOD,0.016,Below LOD,Below LOD,0.0024,4.75,0.39,0.0021,648.98
BT_174,Blue Tier,BT1,Greisen,57Fe,4456.968161,Jason_cass_2,20/02/2018 (3) 17:00:58.18,20/02/2018 (3),00:58.2,29.071,BT_main_174,29,Normal,1,1.66E+04,1.60E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.16,37.5,2.2,1.5,2.21E+04,2.50E+03,NaN,28,20,NaN,Below LOD,Below LOD,96,4.52,0.39,0.3,425,26,0.49,0.287,0.095,0.17,3.5,1.1,1.7,6.8,1.2,3,2.02,0.2,0.061,11.7,1.1,0.64,Below LOD,Below LOD,0.48,Below LOD,Below LOD,0.39,0.97,0.12,0.16,0.95,0.15,0.014,Below LOD,Below LOD,0.48,Below LOD,Below LOD,0.18,19,17,NaN,Below LOD,Below LOD,2.1,-9,51,NaN,Below LOD,Below LOD,0.11,Below LOD,Below LOD,0.025,0.0187,0.0073,0.0073,198.1,8.7,0.014,928,44,0.015,Below LOD,Below LOD,0.098,0.8,0.15,0.15,1.08E+05,4.60E+03,1.6,9.69E+04,4.50E+03,1.8,8.2,3.2,0.071,0.264,0.048,0.058,0.059,0.018,0.022,0.043,0.016,0.0092,0.034,0.013,0.019,Below LOD,Below LOD,0.033,0.056,0.013,0.0016,17.96,0.81,0.012,179.2,9,0.009,33.2,2,0.0072,34,2.1,0.027,Below LOD,Below LOD,0.011,Below LOD,Below LOD,0.048,Below LOD,Below LOD,0.021,Below LOD,Below LOD,0.0025,4.76,0.27,0.0022,846.15
BT_175,Blue Tier,BT1,Greisen,57Fe,4482.477169,Jason_cass_2,20/02/2018 (3) 17:04:28.67,20/02/2018 (3),04:28.7,29.194,BT_main_175,29,Normal,1,8360,430,NaN,0,1,NaN,Below LOD,Below LOD,0.088,7.43,0.66,0.83,1.20E+04,2.20E+03,NaN,27,11,NaN,Below LOD,Below LOD,54,2.95,0.24,0.17,749,34,0.21,0.291,0.075,0.09,1.19,0.47,0.95,3.28,0.76,1.7,1.02,0.11,0.042,5.84,0.52,0.38,Below LOD,Below LOD,0.28,Below LOD,Below LOD,0.24,0.21,0.06,0.086,0.26,0.065,0.0077,Below LOD,Below LOD,0.27,Below LOD,Below LOD,0.11,18,13,NaN,Below LOD,Below LOD,1.2,-9,73,NaN,Below LOD,Below LOD,0.059,Below LOD,Below LOD,0.012,0.0109,0.0055,0.0015,70.8,3.8,0.008,245,16,0.008,0.02,0.024,0.013,0.145,0.058,0.098,5.83E+04,3.30E+03,1.1,5.15E+04,3.00E+03,1,3.8,1.6,0.045,0.129,0.025,0.037,0.036,0.011,0.014,0.0244,0.0061,0.0014,Below LOD,Below LOD,0.0088,Below LOD,Below LOD,0.0066,0.0151,0.0056,0.0009,10.78,0.86,0.0066,187,11,0.01,3.5,0.38,0.011,3.59,0.47,0.015,0.002,0.0027,0.0018,Below LOD,Below LOD,0.022,Below LOD,Below LOD,0.012,Below LOD,Below LOD,0.0014,1.36,0.18,0.0012,240.56
BT_176,Blue Tier,BT1,Greisen,57Fe,4505.262527,Jason_cass_2,20/02/2018 (3) 17:05:38.97,20/02/2018 (3),05:39.0,29.05,BT_main_176,29,Normal,1,6380,660,NaN,0,1,NaN,Below LOD,Below LOD,0.14,11.37,0.91,1.4,1.72E+04,2.50E+03,NaN,41,15,NaN,Below LOD,Below LOD,87,2.22,0.25,0.28,835,32,0.52,0.168,0.093,0.15,1.71,0.7,1.5,4.5,1.1,2.8,1.77,0.21,0.057,10.6,1.1,0.6,Below LOD,Below LOD,0.45,Below LOD,Below LOD,0.32,0.393,0.087,0.14,0.323,0.092,0.045,Below LOD,Below LOD,0.48,Below LOD,Below LOD,0.17,23,17,NaN,Below LOD,Below LOD,1.9,20,60,NaN,Below LOD,Below LOD,0.096,Below LOD,Below LOD,0.031,0.0172,0.0075,0.0066,102.5,4.1,0.013,188.5,7.7,0.0068,0.027,0.032,0.021,0.2,0.11,0.13,1.00E+05,4.80E+03,1.4,8.97E+04,3.80E+03,1.8,7.8,3.2,0.058,0.226,0.05,0.055,0.083,0.023,0.023,0.038,0.013,0.0023,0.02,0.011,0.017,Below LOD,Below LOD,0.011,0.0132,0.0055,0.0041,15.2,0.89,0.011,160,11,0.0065,2.8,0.25,0.018,2.48,0.32,0.025,Below LOD,Below LOD,0.0081,Below LOD,Below LOD,0.38,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.0023,0.498,0.056,0.002,300.125
